respondent_id,h1n1_vaccine,seasonal_vaccine
26707,0.19,0.33
26708,0.02,0.08
26709,0.28,0.51
26710,0.52,0.81
26711,0.36,0.55
26712,0.49,0.94
26713,0.31,0.45
26714,0.24,0.24
26715,0.03,0.23
26716,0.27,0.79
26717,0.12,0.34
26718,0.29,0.54
26719,0.16,0.81
26720,0.01,0.2
26721,0.36,0.56
26722,0.17,0.13
26723,0.62,0.72
26724,0.03,0.4
26725,0.06,0.12
26726,0.05,0.1
26727,0.3,0.68
26728,0.37,0.64
26729,0.05,0.43
26730,0.01,0.36
26731,0.04,0.28
26732,0.35,0.24
26733,0.84,0.93
26734,0.84,0.47
26735,0.21,0.51
26736,0.22,0.39
26737,0.2,0.21
26738,0.66,0.8
26739,0.24,0.38
26740,0.31,0.31
26741,0.08,0.8
26742,0.28,0.49
26743,0.14,0.46
26744,0.01,0.55
26745,0.08,0.85
26746,0.09,0.04
26747,0.07,0.28
26748,0.13,0.19
26749,0.19,0.82
26750,0.47,0.84
26751,0.47,0.74
26752,0.08,0.03
26753,0.34,0.57
26754,0.3,0.76
26755,0.21,0.34
26756,0.07,0.0
26757,0.44,0.54
26758,0.49,0.71
26759,0.05,0.28
26760,0.01,0.18
26761,0.31,0.55
26762,0.3,0.81
26763,0.86,1.1
26764,0.9,1.07
26765,0.09,0.8
26766,0.27,0.34
26767,0.76,0.8
26768,0.08,0.66
26769,0.1,0.25
26770,0.11,0.65
26771,0.08,0.04
26772,0.16,0.41
26773,0.02,0.57
26774,0.01,0.46
26775,0.1,0.55
26776,0.48,0.32
26777,0.25,0.91
26778,0.13,0.2
26779,0.25,0.65
26780,0.05,0.9
26781,0.0,0.35
26782,0.14,0.43
26783,0.01,0.32
26784,0.27,0.75
26785,0.16,0.24
26786,0.07,0.33
26787,0.07,0.45
26788,0.01,0.74
26789,0.1,0.56
26790,0.0,0.29
26791,0.04,0.21
26792,0.2,0.73
26793,0.13,0.8
26794,0.6,0.94
26795,0.12,1.04
26796,0.11,0.11
26797,0.26,0.78
26798,0.29,0.24
26799,0.3,0.05
26800,0.1,0.9
26801,0.36,0.46
26802,0.28,0.34
26803,0.04,0.23
26804,0.03,0.28
26805,0.03,0.36
26806,0.0,0.81
26807,0.38,0.82
26808,0.24,0.57
26809,0.48,0.17
26810,0.01,0.24
26811,0.04,0.04
26812,0.29,0.66
26813,0.46,0.33
26814,0.1,0.36
26815,0.07,0.13
26816,0.02,0.21
26817,0.07,0.51
26818,0.21,0.43
26819,0.3,0.47
26820,0.08,0.47
26821,0.09,0.48
26822,0.07,0.42
26823,0.51,0.43
26824,0.11,0.6
26825,0.46,0.63
26826,0.06,0.61
26827,0.0,0.29
26828,0.11,0.47
26829,0.65,0.88
26830,0.07,0.45
26831,0.15,0.59
26832,0.05,0.86
26833,0.01,0.44
26834,0.27,0.59
26835,0.35,0.81
26836,0.25,0.38
26837,0.31,0.03
26838,0.19,0.39
26839,0.27,0.61
26840,0.23,0.31
26841,0.47,0.73
26842,0.18,0.34
26843,0.06,0.12
26844,0.0,0.4
26845,0.06,0.54
26846,0.01,0.58
26847,0.51,0.22
26848,0.0,0.59
26849,0.49,0.75
26850,0.52,0.71
26851,0.11,0.16
26852,0.09,0.21
26853,0.37,0.57
26854,0.09,0.21
26855,0.5,0.83
26856,0.08,0.12
26857,0.46,0.29
26858,0.15,0.54
26859,0.04,0.25
26860,0.37,0.29
26861,0.02,0.04
26862,0.06,0.34
26863,0.19,0.45
26864,0.41,0.36
26865,0.04,0.05
26866,0.17,0.48
26867,0.22,0.27
26868,0.57,0.73
26869,0.06,0.37
26870,0.52,0.62
26871,0.03,0.03
26872,0.05,0.45
26873,0.2,0.88
26874,0.0,0.23
26875,0.53,0.93
26876,0.1,0.06
26877,0.23,0.3
26878,0.18,0.34
26879,0.08,0.01
26880,0.07,0.24
26881,0.09,0.09
26882,0.11,0.23
26883,0.19,0.44
26884,0.1,0.03
26885,0.23,0.61
26886,0.05,0.62
26887,0.63,0.77
26888,0.92,1.19
26889,0.0,0.18
26890,0.08,0.41
26891,0.37,0.52
26892,0.12,0.67
26893,0.16,0.35
26894,0.32,0.48
26895,0.01,0.7
26896,0.12,0.2
26897,0.12,0.35
26898,0.22,0.68
26899,0.03,0.17
26900,0.25,0.47
26901,0.05,0.51
26902,0.08,0.81
26903,0.28,0.14
26904,0.15,0.39
26905,0.37,0.59
26906,0.08,0.22
26907,0.04,0.5
26908,0.1,0.58
26909,0.36,0.33
26910,0.02,0.21
26911,0.19,0.22
26912,0.53,0.91
26913,0.65,0.83
26914,0.06,0.36
26915,0.15,0.7
26916,0.0,0.38
26917,0.11,0.03
26918,0.56,0.81
26919,0.21,0.38
26920,0.02,0.21
